course_num,course_name,description
CMPT 467,"Visualization
		
			(3)","Presents advanced topics in the field of data visualization. Topics include an introduction to visualization (importance and common approaches), visualization concepts, interactive visualizations, visualization methodologies including comprehension, perception, evaluation, as well as application areas such as medical, scientific, business and personal. Prerequisite:CMPT 225with a minimum grade of C-. Recommended:CMPT 263andCMPT 363."
CMPT 469,"Special Topics in Computer Graphics
		
			(3)",Current topics in computer graphics depending on faculty and student interest. Prerequisite:CMPT 361with a minimum grade of C-.
CMPT 471,"Networking II
		
			(3)","This course covers the fundamentals of higher level network functionality such as remote procedure/object calls, name/address resolution, network file systems, network security and high speed connectivity/bridging/switching. Prerequisite: (CMPT 201orCMPT 300orENSC 351) andCMPT 371, both with a minimum grade of C-."
CMPT 473,"Software Testing, Reliability and Security
		
			(3)","Methods for software quality assurance focusing on reliability and security. Test coverage and test data adequacy including combinatorial testing. MC/DC testing, and mutation testing. Security engineering techniques for vulnerability discovery and mitigation including fuzz testing. Testing techniques will be applied to the assessment of external open source software. Prerequisite: (CMPT 275orCMPT 276) with a minimum grade of C- and 15 upper division CMPT units."
CMPT 474,"Web Systems Architecture
		
			(3)",Web service based systems are fundamentally different from traditional software systems. The conceptual and methodological differences between a standard software development process and the development of a web service based information system. The technology involved during the construction of their own web service based application in an extensive project. Prerequisite:CMPT 371with a minimum grade of C-.
CMPT 475,"Requirements Engineering 
		
			(3)","Software succeeds when it is well-matched to its intended purpose. Requirements engineering is the process of discovering that purpose by making requirements explicit and documenting them in a form amenable to analysis, reasoning, and validation, establishing the key attributes of a system prior to its construction. Students will learn methodical approaches to requirements analysis and design specification in early systems development phases, along with best practices and common principles to cope with notoriously changing requirements.  Prerequisite:CMPT 275orCMPT 276, (MACM 201orCMPT 210) , all with a minimum grade of C- and 15 units of upper division courses. Recommended: Co-op experience."
CMPT 476,"Introduction to Quantum Algorithms
		
			(3)","An introductory treatment of quantum computing with an emphasis on quantum algorithms. Topics include the gate model of quantum computation focusing on the design and implementation of quantum algorithms. Basic knowledge of algorithms and complexity will be an asset, but not required. No prior knowledge of physics or quantum mechanics is necessary, only a solid background in linear algebra. Prerequisite:MATH 232orMATH 240, with a minimum grade of C-. Students with credit forMACM 476may not take this course for further credit."
CMPT 477,"Introduction to Formal Verification
		
			(3)","Introduces, at an accessible level, a formal framework for symbolic model checking, one of the most important verification methods. The techniques are illustrated with examples of verification of reactive systems and communication protocols. Students learn to work with a model checking tool. Prerequisite:CMPT 275or276, with a minimum grade of C-."
CMPT 478,"Current Topics in Quantum Computing
		
			(3)","Current topics in advanced quantum algorithms and related issues depending on faculty and student interest. Possible topics include the hidden subgroup problem, quantum walk, systems of linear equations, adiabatic quantum computing, quantum system simulation, quantum error correction, quantum circuits and compilation, and quantum machine learning. Prerequisite:CMPT 476orPHYS 416, with a minimum grade of C-."
CMPT 479,"Special Topics in Computing Systems
		
			(3)","Current topics in computing systems depending on faculty and student interest. Prerequisite:CMPT 201orCMPT 300orENSC 351, with a minimum grade of C-."
CMPT 489,"Special Topics in Programming Languages
		
			(3)",Current topics in programming languages depending on faculty and student interest. Prerequisite:CMPT 383with a minimum grade of C-.
CMPT 493,"Digital Media Practicum
		
			(6)","The design and implementation of interactive digital media systems using modern processes and tools. Projects are provided by external clients or vetted entrepreneurial pitches and are developed by interdisciplinary teams composed of oneCMPT 493student and multiple Master of Digital Media students. Prerequisite:CMPT 275orCMPT 276, at least 80 units, CGPA and UDGPA over 3.0, enrolled in any CS major program. Participation in the practicum is competitive and an application must be submitted to the Undergraduate Chair by a defined due date announced each term."
CMPT 494,"Software Systems Program Capstone Project I
		
			(3)","This course is the first in a series of two 3 unit courses for the Software Systems Capstone Project. Students will work in teams on a closely supervised software systems project. Projects can be research based or have a significant software application, potentially based on a real customer application specification, as their basis. Students will be required to write a full project report and present their project during the Capstone Project Day Presentations. Prerequisite: Students must have completed at least 15 units of upper division CMPT courses. Successful Capstone Project Proposal."
CMPT 495,"Software Systems Capstone Project II
		
			(3)","This course is the second in a series of two 3 unit courses for the Software Systems Capstone Project. Students will work in teams or a closely supervised software systems project. Projects can be research based or have a significant software application, potentially based on a real customer specification. Students will be required to write a final project report at the end of the term and do a project presentation during the Capstone Presentation Day. Prerequisite:CMPT 494with a minimum grade of C-.CMPT 495must be taken in the term immediately following the successful completion ofCMPT 494and must be for the same project and faculty supervisor."
CMPT 496,"Directed Studies
		
			(3)","Independent study in topics selected in consultation with the supervising instructor(s) that are not covered by existing course offerings. Students must submit a proposal to the undergraduate chair, including the name and signature of the supervising faculty member(s). The proposal must include details of the material to be covered and the work to be submitted. Prerequisite: Students must have completed 90 units, including 15 units of upper division CMPT courses, and have a GPA of at least 3.00. The proposal must be submitted to the undergraduate chair at least 15 days in advance of the term. The proposal must be signed by the supervisor(s) and the undergraduate chair."
CMPT 497,"Dual Degree Program Capstone Project
		
			(6)","Students will select one project to be completed in their final year of study. Each student must complete a project report and make a project presentation. The project may include: a research survey, a project implementation, a research paper/report.  Prerequisite: Submission of a satisfactory capstone project proposal."
CMPT 498,"Honours Research Project
		
			(6)","Students must submit a proposal to the Undergraduate Chair, including the name and signature of the supervising faculty member(s). Students must complete a project report and make a project presentation. This course can satisfy the research project requirements for Computing Science honours students. Prerequisite: Students must have completed 90 units, including 15 units of upper division CMPT courses, and have a GPA of at least 3.00. The proposal must be submitted to the Undergraduate Chair at least 15 days in advance of the term. The proposal must be signed by the supervisor(s) and the undergraduate chair."
CMPT 499,"Special Topics in Computer Hardware
		
			(3)","Current topics in computer hardware depending on faculty and student interest. Prerequisite: CMPT 250 or ENSC 250, with a minimum grade of C-."
CMPT 626,"Graduate Co-op I
		
			(3)",This course is the first term of work experience in the School of Computing Science Co-operative Education Program for graduate students. Units of this course do not count towards computing science breadth requirements. Graded on a satisfactory/unsatisfactory basis. Prerequisite: 12 units of CMPT coursework at the 700-level or higher with a CGPA of at least 3.0. Department Consent is required for enrollment.
CMPT 627,"Graduate Co-op II
		
			(3)",This course is the second term of work experience in the School of Computing Science Co-operative Education Program for graduate students. Units of this course do not count towards computing science breadth requirements. Graded on a satisfactory/unsatisfactory basis. Prerequisite:CMPT 626and a CGPA of at least 3.0. Department Consent is required for enrollment.
CMPT 628,"Graduate Co-op III
		
			(3)",This course is the third term of work experience in the School of Computing Science Co-operative Education Program for graduate students. Units of this course do not count towards computing science breadth requirements. Graded on a satisfactory/unsatisfactory basis. Prerequisite:CMPT 627and a CGPA of at least 3.0. Department Consent is required for enrollment.
CMPT 629,"Graduate Project
		
			(3)",Graded on a satisfactory/unsatisfactory basis. Prerequisite: Permission of the Graduate Program Chair.
CMPT 631,"Industrial Internship
		
			(3)","An internship in industry or a research environment for graduate research students. A final report will be submitted and graded by the student's supervisor. Units of this course do not count towards computing science breadth requirements. Graded on a satisfactory/unsatisfactory basis. Prerequisite: 12 units of CMPT course work with an SFU CGPA of at least 3.0. Approval of supervisor and a GPC representative is required prior to applying for, or accepting an internship."
CMPT 700,"Technical Writing and Research Communication
		
			(3)","Covers technical writing and communication skills for research in computing science. Introduces students to scholarly publication procedures, research collaboration norms, ethics and intellectual property issues, as well as broadly useful tools for writing about and presenting research. Includes research seminar attendance and practicing constructive critique and feedback for ongoing research. The objective is to train well-rounded graduate students, to advance their ability to communicate and review scientific research, to introduce broadly used research software tools, and to become knowledgeable about issues surrounding computing science research."
CMPT 701,"Computability and Logic
		
			(3)","Deep connections between logic and computation have been evident since early work in both areas. More recently, logic-based methods have led to important progress in diverse areas of computing science. This course will provide a foundation in logic and computability suitable for students who wish to understand the application of logic in various areas of CS, or as preparation for more advanced study in logic or theoretical CS."
CMPT 705,"Design and Analysis of Algorithms
		
			(3)","The objective of this course is to expose students to basic techniques in algorithm design and analysis. Topics will include greedy algorithms, dynamic programming, advanced data structures, network flows, randomized algorithms. Students with credit for CMPT 706 may not take this course for further credit."
CMPT 710,"Computational Complexity
		
			(3)","This course provides a broad view of theoretical computing science with an emphasis on complexity theory. Topics will include a review of formal models of computation, language classes, and basic complexity theory; design and analysis of efficient algorithms; survey of structural complexity including complexity hierarchies, NP-completeness, and oracles; approximation techniques for discrete problems. Students with credit for CMPT 810 may not take this course for further credit."
CMPT 711,"Bioinformatics Algorithms
		
			(3)",Fundamental algorithmic techniques used to solve computational problems encountered in molecular biology. This area is usually referred to as Bioinformatics or Computational Biology. Students who have taken CMPT 881 (Bioinformatics) in 2007 or earlier may not takeCMPT 711for further credit.
CMPT 713,"Natural Language Processing
		
			(3)","Natural Language Processing is the automatic analysis of human languages such as English, Korean, and thousands of others analyzed by computer algorithms. Unlike artificially created programming languages where the structure and meaning of programs is easy to encode, human languages provide an interesting challenge, both in terms of its analysis and the learning of language from observations. Covers NLP tasks such as language modeling, machine translation, multilingual processing, information extraction, question answering, and other topics relevant to modern NLP. Students with credit for CMPT 825 orCMPT 413may not take this course for further credit."
CMPT 720,"Robotic Autonomy: Algorithms and Computation
		
			(3)","Fundamental concepts in robotics and related fields, including computational methods for solving decision making and algorithms for robots to understand their environment. Topics include modeling and simulation of robotic systems, optimization, optimal control, robotic safety, reinforcement learning, and robotic perception. Applications of the material include unmanned aerial vehicles and self-driving cars."
CMPT 721,"Knowledge Representation and Reasoning
		
			(3)","Knowledge representation is the area of Artificial Intelligence concerned with how knowledge can be represented symbolically and manipulated by reasoning programs. This course addresses problems dealing with the design of languages for representing knowledge, the formal interpretation of these languages and the design of computational mechanisms for making inferences. Since much of Artificial Intelligence requires the specification of a large body of domain-specific knowledge, this area lies at the core of AI. Prerequisite: Recommended:CMPT 310orCMPT 710."
CMPT 722,"Rendering and Visual Computing for Artificial Intelligence
		
			(3)","Advanced topics in computer graphics with a focus on rendering, and computer graphics for virtual/augmented reality and artificial intelligence systems. Topics include photorealistic rendering; advanced ray tracing; light fields and volume rendering; differentiable and inverse rendering; neural rendering; and high-performance architectures for visual computing systems. Prerequisite: Recommended:CMPT 361andCMPT 726."
CMPT 724,"Affective Computing
		
			(3)","Affective Computing is the study of emotions and their impact in building interactive, intelligent machines and interfaces. Students will learn theories and models of affect (moods, feelings and emotions), as well as computational social signal processing methods to generate socially intelligent behaviour for robots and agents that interact with humans."
CMPT 726,"Machine Learning
		
			(3)","Machine Learning is the study of computer algorithms that improve automatically through experience. Provides students who conduct research in machine learning, or use it in their research, with a grounding in both the theoretical justification for, and practical application of, machine learning algorithms. Covers techniques in supervised and unsupervised learning, the graphical model formalism, and algorithms for combining models. Students who have taken CMPT 882 (Machine Learning) in 2007 or earlier may not takeCMPT 726for further credit."
CMPT 727,"Mathematical and Probabilistic Foundations of Machine Learning
		
			(3)","Using machine learning algorithms effectively requires understanding their theoretical and conceptual basis. Covers mathematical and probabilistic foundations of machine learning, placing learning methods in a unified framework based on Bayesian reasoning. Students will acquire skills for formulating models, deriving optimization algorithms, and choosing effective approaches for a given learning problem. Topics include parameter estimation, optimization, linear classification and regression, regularization, and probabilistic graphical models."
CMPT 728,"Deep Learning
		
			(3)","Machine learning has become the main framework for building programs that perform intelligent tasks. In fields such as computer vision and natural language processing, many recent successes have been achieved using neural nets with several layers, so-called deep neural nets. Students will look at deep neural nets, techniques for training them from data, and significant applications. They will be presented with network architectures such as convolutional neural nets, autoencoders, recurrent neural nets, long-short term memory networks, and generative adversarial networks. Advanced training techniques to be described include dropout, batch normalization, and adaptive step size selection."
CMPT 729,"Reinforcement Learning
		
			(3)","Reinforcement learning is the branch of machine learning that studies learning to act. Agents observe, predict, and act to change their environment. Reinforcement learning has notable success in learning to play video & board games, improving robot performance, and task scheduling. Many recent successes have utilized neural nets, an approach known as deep reinforcement learning."
CMPT 732,"Big Data Lab I
		
			(6)","The first of two lab courses that are part of the master of science in big data. This lab course aims to provide students with experience needed for a successful career in big data in the information technology industry. Students will earn core concepts of artificial intelligence and data engineering to work with large, or otherwise complex, data sources. Specifically, this includes statistics and data visualization, data pipeline engineering, and modelling. Many of the assignments will be completed on publicly available, massive data sets giving students hands-on experience with cloud computing, streaming data, and scalable computation - algorithms and software tools needed to master programming for big data. Prerequisite: This course is only available to students enrolled in the master of science in big data program."
CMPT 733,"Big Data Lab II
		
			(6)","The second of two lab courses that are part of the master of science in big data. This lab course aims to provide students with experience needed for a successful career in big data in the information technology industry. Students will learn core concepts of artificial intelligence and applied data science. Specifically, this includes data analytics, advanced statistics and data visualization, deep learning, and anomaly detection. Many of the assignments will be completed on publicly available, complex data sets giving students experience with algorithms and software tools needed to master programming for big data. Prerequisite:CMPT 732. This course is only available to students enrolled in the master of science in big data program."
CMPT 740,"Database Systems
		
			(3)","Introduction to advanced database system concepts, including query processing, transaction processing, distributed and heterogeneous databases, object-oriented and object-relational databases, data mining and data warehousing, spatial and multimedia systems and Internet information systems."
CMPT 741,"Data Mining
		
			(3)","The student will learn basic concepts and techniques of data mining. Unlike data management required in traditional database applications, data analysis aims to extract useful patterns, trends and knowledge from raw data for decision support. Such information are implicit in the data and must be mined to be useful."
CMPT 742,"Visual Computing Lab I
		
			(6)","Lab practices, combined with instructional offerings, for students to acquire the hands-on experience necessary for a successful career in Visual Computing in the information technology sector. Topics covered will include fundamental and prevalent problems from application domains in the fields of computer graphics, computer vision, human-computer interaction, medical image analysis, as well as visualization. Prerequisite: This course is only available to students enrolled in the master of visual computing program."
CMPT 743,"Visual Computing Lab II
		
			(6)","Lab practices, combined with instructional offerings, for students to acquire the hands-on experience necessary for a successful career in Visual Computing in the information technology sector. Topics covered will include fundamental and prevalent problems from application domains in the fields of computer graphics, computer vision, human-computer interaction, medical image analysis, as well as visualization. Prerequisite:CMPT 742. This course is only available to students enrolled in the master of visual computing program."
CMPT 750,"Computer Architecture
		
			(3)","Principles of the architecture of computing systems. Topics include: superscaler processor micro-architecture, speculative execution, cache and memory hierarchy, multiprocessors, cache coherence, memory consistency, implications of technology on architecture, parallel architectures (multi-threading, GPUs, vector processors). Prerequisite: Recommended:CMPT 295or equivalent. Students with credit forCMPT 450may not take this course for further credit."
CMPT 756,"Distributed and Cloud Systems
		
			(3)","Students will learn principles and techniques for processing various data types at real-world scale using distributed and cloud computing resources. Fundamentals of approximation and distributed algorithms will be covered. Handling of large-scale image and video datasets, massive graphs, as well as structured and unstructured text datasets will be studied. Designing and building robust software systems using multicore processors, processor accelerators (e.g., Graphics Processing Units) and cloud resources will be introduced."
CMPT 757,"Frontiers of Visual Computing
		
			(3)","A seminar-oriented course covering the latest technological advances and trends in visual computing and relevant domains. The focus is on relating fundamental visual computing concepts and techniques to the inception, evolution, and future prospects of these trend-setting technologies."
CMPT 762,"Computer Vision
		
			(3)","Selected topics in computer vision including cameras, edge detection, feature matching, optical flow, alignment, epipolar geometry, stereo, structure-from-motion, recognition, segmentation, detection, and deep learning."
CMPT 763,"Biomedical Computer Vision
		
			(3)","Selected topics in biomedical imaging. Computer visions, medical data and image representation, file formats, segmentation, registration, classification, anatomical shape modeling, machine and deep learning tools and methods."
CMPT 764,"Geometric Modelling in Computer Graphics
		
			(3)","Advanced topics in geometric modelling and processing for computer graphics, such as Bezier and B-spline techniques, subdivision curves and surfaces, solid modelling, implicit representation, surface reconstruction, multi-resolution modelling, digital geometry processing (e.g., mesh smoothing, compression, and parameterization), point-based representation, and procedural modelling. Prerequisite: Recommended:CMPT 361andMACM 316. Students with credit forCMPT 464may not take this course for further credit."
CMPT 766,"Computer Animation and Simulation
		
			(3)","Selected topics in computer animation and simulation, including 3D character animation and control, facial animation, simulation of natural phenomena (i.e. fluids, crowd simulation, and deformation of pliant materials)."
CMPT 767,"Visualization
		
			(3)","Advanced topics in data visualization. Topics covered may include principles of data representation, data presentation, data interaction,  data physicalization, data and visualization literacy, data visualization and diversity, open data, and public personal data visualization. Students with credit for CMPT 878 or 775 may not take this course for further credit."
CMPT 769,"Computational Photography and Image Manipulation
		
			(3)","Computational Photography is concerned with overcoming the limitations of traditional photography with computation: in optics, sensors, and geometry; and even in composition, style, and human interfaces. The course covers computational techniques to improve the way we process, manipulate, and interact with visual media. The covered topics include image-based lighting and rendering, camera geometry and optics, computational apertures, advanced image filtering operations, high-dynamic range, image blending, texture synthesis and inpainting. Students with credit forCMPT 461may not take this course for further credit."
CMPT 770,"Parallel and Distributed Computing
		
			(3)","Principles involved in designing modern parallel and distributed software systems. The course focuses on covering key concepts like concurrency, synchronization, consistency models and fault tolerance. Involves multiple programming projects and reading articles on recent trends in parallel and distributed computing."
CMPT 771,"Computer Networks
		
			(3)","Investigates the design and operation of wide-area computer networks, especially the Internet and the TCP/IP protocol suite. This course studies performance modeling, security and quality of service; wireless connectivity and multimedia networking; network services, including recent topics and trends in these areas."
CMPT 776,"Quantum Algorithms
		
			(3)","Introduction to the field of quantum computing with an emphasis on the design and implementation of quantum algorithms. Topics include the fundamentals of quantum information, computation, and seminal algorithms. Prerequisite: No prior knowledge of quantum physics is required, but a strong background in linear algebra (MATH 240or equivalent) is recommended. Students with credit forCMPT 476,MACM 476, orMATH 776may not take this course for further credit."
CMPT 777,"Formal Verification
		
			(3)","The goal of formal verification is to prove correctness or to find mistakes in software and other systems. This course introduces, at an accessible level, a formal framework for symbolic model checking, one of the most important verification methods. The techniques are illustrated with examples of verification of reactive systems and communication protocols. Students learn to work with a model checking tool such as NuSMV."
CMPT 782,"Cybersecurity Lab I
		
			(6)","Simulating real attacks on software systems to assess the risk associated with potential security breaches to provide students with hands-on experience necessary for a successful career path in the cybersecurity field. Students are trained as penetration testers to learn how to discover vulnerabilities, exploit vulnerabilities, and to determine what attackers might gain after a successful vulnerability exploitation. Prerequisite: This course is only available to students enrolled in the master of cybersecurity program."
CMPT 783,"Cybersecurity Lab II
		
			(6)","Students will learn the fundamental principles of system and network security by studying attacks on computer systems, network and cloud infrastructure and how to prevent and detect them. The focus is on hands-on experiences. Students will be able to explain and reproduce former and recent system attacks, build network defensive systems, and design computer systems that are immune to these attacks. Prerequisite:CMPT 782. This course is only available to students enrolled in the master of cybersecurity program."
CMPT 785,"Secure Software Design
		
			(3)","The security of software depends on how well the requirements match the needs that the software is to address, how well the software is designed, implemented, tested, and deployed and maintained. This is an advanced course on the rigorous development and use of software that reliably preserves the security properties of the information and systems it protects."
CMPT 786,"Cloud and Network Security
		
			(3)","The course covers network attacks as well as techniques to defend against them. This includes protocol-specific attacks (e.g., TCP/IP and BGP) and generic attacks (e.g., Denial of Service); infrastructure topics such as centralized control, SDN, virtualization, NFV, intrusion detection; and new technologies related to containers, IoT, access, 5G."
CMPT 788,"Information Privacy
		
			(3)","Technological innovation in how individuals, organizations, and governments collect and share personal information have raised serious concerns. Data breaches have grown in frequency over the past decade, exposing us to identity theft, financial fraud and intellectual property theft. Introduces fundamental privacy concepts in a broad sense with emphasis on challenging and emerging research topics in privacy."
CMPT 789,"Applied Cryptography
		
			(3)","Explores modern cryptographic and cryptoanalytics techniques in detail, and emphasizes how such mechanisms can be effectively used within larger security systems, and finding their vulnerabilities. Topics covered include cryptographic primitives, public key encryption, digital signature, message authentication codes, cryptographic protocols, and attacks."
CMPT 790,"Big Data Portfolio
		
			(1)","Students prepare a portfolio of their works in the area of big data including work from big data lab courses and other relevant courses, as well as contributions to other projects. Graded on a satisfactory/unsatisfactory basis. Prerequisite:CMPT 733."
CMPT 791,"Visual Computing Portfolio
		
			(1)",Students prepare a portfolio of their works in the area of visual computing including work from lab courses. Graded on a satisfactory/unsatisfactory basis. Prerequisite:CMPT 743.
CMPT 792,"Cybersecurity Portfolio
		
			(1)",Students prepare a portfolio of their works in the area of cybersecurity including work from lab courses. Graded on a satisfactory/unsatisfactory basis. Prerequisite:CMPT 783.
CMPT 800,"3D Computer Vision
		
			(3)","Covers topics including acquisition, processing, and synthesis of 3D content. The course introduces 3D representations amenable to computer vision (from classical polygonal meshes to neural fields), and fundamentals of non-linear optimization to effectively tackle inverse 3D vision problems. Students who have takenCMPT 400andCMPT 985under the title ""HCI, Visualization, Vision, Multimedia"" in Spring 2024 may not take this course for further credit."
CMPT 815,"Algorithms of Optimization
		
			(3)","This course will cover a variety of optimization models, that naturally arise in the area of management science and operations research, which can be formulated as mathematical programming problems. Students with credit for CMPT 860 may not take this course for further credit."
CMPT 820,"Multimedia Systems
		
			(3)","This seminar course covers current research in the field of multimedia computing. Topics include multimedia data representation, compression, retrieval, network communications and multimedia systems. Computing science graduate student or permission of instructor. Students with credit for CMPT 880 may not take this course for further credit."
CMPT 827,"Intelligent Systems
		
			(3)","Intelligent systems are knowledge-based computer programs which emulate the reasoning abilities of human experts. This introductory course will analyze the underlying artificial intelligence methodology and survey advances in rule-based systems, constraint solving, incremental reasoning, intelligent backtracking and heuristic local search methods. We will look specifically at research applications in intelligent scheduling, configuration and planning. The course is intended for graduate students with a reasonable background in symbolic programming."
CMPT 829,"Special Topics in Bioinformatics
		
			(3)","Examination of recent literature and problems in bioinformatics. Within the CIHR graduate bioinformatics training program, this course will be offered alternatively as the problem-based learning course and the advanced graduate seminar in bioinformatics (both concurrent withMBB 829)."
CMPT 839,"Advanced Natural Language Processing and Understanding
		
			(3)","NLP plays an essential role in many applications, allowing people to communicate with computers through dialog systems, communicate with each other through machine translation systems, and find and process information. The course covers advanced topics in NLP, introducing the state-of-the-art methods for computational understanding, analysis, and generation of natural language text. Prerequisite: Recommended:CMPT 413orCMPT 713orCMPT 726orCMPT 728."
CMPT 863,"Advanced Topics in Human-Computer Interaction
		
			(3)","Advanced topics in human-computer interaction (HCI) will be introduced for better understanding end users, solving a variety of problems in the design of technology, and inventing novel forms of interaction. Focus will be on current trends in HCI research, design of interactive systems, and user-centered evaluation techniques. Students with credit for CMPT 888 orCMPT 985under the title ""Special Topics in Human-Computer Interaction"" may not take this course for further credit."
CMPT 886,"Special Topics in Operating Systems
		
			(3)",
CMPT 889,"Special Topics in Interdisciplinary Computing
		
			(3)",
CMPT 891,"Thesis Graduate Student Orientation
		
			(3)","Thesis graduate student orientation seminar providing key information and foundational skills for the thesis degree, and an overview of research areas in computing science. Graded on a satisfactory/unsatisfactory basis."
CMPT 894,"Directed Reading
		
			(3)",Students may enroll in two different directed reading courses in the same term. Prerequisite: Permission of the department.
CMPT 895,"Master Program Extended Essay
		
			(3)",Students will complete an extended essay required by the SFU-ZU graduate dual degree master program. The extended essay will normally be a report on a research/industry project or a survey on a specific topic in information technology. The topic and the scope of each essay will be determined in consultation with the supervisory committee. Graded on a satisfactory/unsatisfactory basis.
CMPT 896,MSc Course Option Portfolio,Required for students enrolled in the MSc course option. Students may only enroll for this course during the term in which he/she enrolls for his/her 10th course. Graded on a satisfactory/unsatisfactory basis.
CMPT 897,"MSc Project
		
			(10)",Graded on a satisfactory/unsatisfactory basis.
CMPT 898,"MSc Thesis
		
			(18)",Graded on a satisfactory/unsatisfactory basis.
CMPT 899,"PhD Thesis
		
			(18)",Graded on a satisfactory/unsatisfactory basis.
CMPT 980,"Special Topics in Computing Science
		
			(3)",This course aims to give students experience to emerging important areas of computing science.
CMPT 981,"Special Topics in Theoretical Computing Science
		
			(3)",
CMPT 982,"Special Topics in Networks and Systems
		
			(3)",
CMPT 983,"Special Topics in Artificial Intelligence
		
			(3)",
CMPT 984,"Special Topics in Databases, Data Mining, Computational Biology
		
			(3)",
CMPT 985,"Special Topics in Graphics, HCI, Visualization, Vision, Multimedia
		
			(3)","Examines current research topics in computer graphics, human computer interaction (including audio), computer vision and visualization."
