course_num,course_name,description
CMPT 210,"Probability and Computing
		
			(3)","Probability has become an essential tool in modern computer science with applications in randomized algorithms, computer vision and graphics, systems, data analysis, and machine learning. The course introduces the foundational concepts in probability as required by many modern applications in computing. Prerequisite:MACM 101,MATH 152,CMPT 125orCMPT 135, and (MATH 240orMATH 232), all with a minimum grade of C-."
CMPT 213,"Object Oriented Design in Java
		
			(3)","An introduction to object oriented design using Java. The Java programming language is introduced,
with an emphasis on its advanced features. The course covers the building blocks of object oriented
design including inheritance, polymorphism, interfaces and abstract classes. A number of object oriented design patterns are presented, such as observer, iterator, and singleton. The course also teaches best-practices in code construction. It includes a basic introduction to programming event driven graphical user interfaces. Prerequisite:CMPT 225with a minimum grade of C-. Students with credit for CMPT 212 cannot take this course for further credit."
CMPT 218,"Special Topics in Computing Science
		
			(3)",Special topics in computing science which are of current interest or are not covered in the regular curriculum will be offered from time to time depending on availability of faculty and on student interest.
CMPT 225,"Data Structures and Programming
		
			(3)","Introduction to a variety of practical and important data structures and methods for implementation and for experimental and analytical evaluation. Topics include: stacks, queues and lists; search trees; hash tables and algorithms; efficient sorting; object-oriented programming; time and space efficiency analysis; and experimental evaluation.  Prerequisite: (MACM 101and (CMPT 125,CMPT 129orCMPT 135)) or (ENSC 251andENSC 252), all with a minimum grade of C-. Quantitative."
CMPT 263,"Introduction to Human-Centered Computing
		
			(3)","Surveys contemporary Human-Computer Interaction (HCI) topics on designing, implementing, and evaluating interactive computer systems from a human-centered perspective. Students will learn important concepts including understanding users, incorporating accountability and responsibility in design, creating accessible and inclusive systems, and evaluating system interfaces with well-established methodologies. Prerequisite:CMPT 125orCMPT 135, with a minimum grade of C-."
CMPT 272,"Web I - Client-side Development
		
			(3)","Introduces students to the fundamentals of client-side web programming. Students will gain experience working with markup languages such as HTML and CSS as well as define dynamic behaviour using JavaScript and TypeScript. Students will be introduced to popular front-end frameworks. The web architecture will be discussed, and web services will be invoked using basic API calls to existing REST APIs. Prerequisite:CMPT 120orCMPT 130orCMPT 128, with a minimum grade of C-."
CMPT 275,"Software Engineering I
		
			(4)","Introduction to software engineering techniques used in analysis/design and in software project management. The course centres on a team project involving requirements gathering, object analysis and simple data normalization, use-case-driven user documentation and design followed by implementation and testing. Additionally, there is an introduction to project planning, metrics, quality assurance, configuration management, and people issues. Prerequisite: One W course,CMPT 225, (MACM 101or (ENSC 251andENSC 252)) and (MATH 151orMATH 150), all with a minimum grade of C-.MATH 154orMATH 157with at least a B+ may be substituted forMATH 151orMATH 150. Students with credit forCMPT 276may not take this course for further credit."
CMPT 276,"Introduction to Software Engineering
		
			(3)","An overview of various techniques used for software development and software project management. Major tasks and phases in modern software development, including requirements, analysis, documentation, design, implementation, testing,and maintenance. Project management issues are also introduced. Students complete a team project using an iterative development process. Prerequisite: One W course,CMPT 225, (MACM 101or (ENSC 251andENSC 252)) and (MATH 151orMATH 150), all with a minimum grade of C-.MATH 154orMATH 157with at least a B+ may be substituted forMATH 151orMATH 150. Students with credit forCMPT 275may not take this course for further credit."
CMPT 295,"Introduction to Computer Systems
		
			(4)","The curriculum introduces students to topics in computer architecture that are considered fundamental to an understanding of the digital systems underpinnings of computer systems.  Prerequisite: Either (MACM 101and (CMPT 125orCMPT 135)) or (MATH 151andCMPT 102for students in an Applied Physics program), all with a minimum grade of C-."
CMPT 300,"Operating Systems I
		
			(3)","This course aims to give the student an understanding of what a modern operating system is, and the services it provides. It also discusses some basic issues in operating systems and provides solutions. Topics include multiprogramming, process management, memory management, and file systems. Prerequisite:CMPT 225and (CMPT 295orENSC 254), all with a minimum grade of C-."
